user,answer_id,answer_valence,answer_arousal,gsr_peak_time,gsr_peak_valu,heartrate_ratio
1153,0,3.0,4.7,529,-0.1345458973,0.8921568627
1153,2,1.8,4.3,607,-0.05747070027,0.8283062645
1153,3,3.1,1.3,374,-0.05957031144,0.9309576837
1153,5,1.2,3.0,196,-0.2087890585,0.886492622
1153,6,2.9,1.2,1097,0.03544922245,0.9207735496
1153,7,4.2,4.3,286,-0.2639648431,0.9306818182
1153,13,1.2,3.0,766,0.1962646493,0.875
1153,15,4.1,2.1,719,0.1797119135,0.9029585799
1153,16,1.7,1.6,996,-0.09541015514,0.8755506608
1153,17,3.0,1.3,333,0.0321044954,0.8942189422
1153,18,4.7,2.9,335,-0.1379882835,0.8797250859
1153,19,1.7,4.3,369,0.02275390418,0.9249422633
1153,20,1.7,4.2,2242,-0.04614257528,0.8725602755
1153,21,4.4,4.2,449,0.03803711157,0.8861538462
1153,23,1.7,1.6,1890,0.2327880812,0.8453006421
1153,26,1.2,3.0,579,-0.1071289056,0.9516908213
1153,29,4.2,4.2,1295,0.1702392596,0.7859608746
1153,30,1.7,4.3,504,-0.09047851491,0.8748603352
1153,31,4.4,4.3,74,0.02482909946,0.900921659
1153,32,1.8,1.7,109,-0.15185547,0.8779620853
1153,34,1.7,1.7,669,0.09550781121,0.7977777778
1153,36,4.4,1.8,421,0.07751464961,0.9502369668
1153,40,4.3,1.7,477,-0.117016602,0.9429223744
1153,42,3.0,1.2,291,0.1034912093,0.9173184358
1153,44,3.7,4.7,745,-0.04172363384,0.8442945475
1153,45,2.3,1.3,1061,0.02416992461,0.9230769231
1153,47,4.7,2.5,812,-0.02087402847,0.8958203369
1153,48,3.0,3.0,340,0.09899902882,0.9244875944
1153,49,2.0,2.1,184,0.01462402062,0.8283062645
1153,50,1.3,3.3,777,-0.2896972663,0.8765294772
1153,51,1.3,3.0,90,-0.07563477003,0.9217491369
1153,55,1.2,3.0,3605,0.2973632787,0.851590106
1153,56,3.6,3.0,1581,-0.04377441904,0.8983764281
1153,58,3.7,3.9,730,-0.1937499985,0.9422572178
1233,0,1.6,4.3,330,-0.3066162117,0.861627907
1233,1,4.2,4.2,416,-0.06696776713,0.8504221954
1233,11,1.2,3.0,654,0.101586907,0.8861929521
1233,12,3.0,3.0,462,-0.09033203043,0.9176327029
1233,13,1.7,4.2,418,-0.6973388661,0.8848837209
1233,14,3.0,4.8,2091,0.1055175767,0.8740648379
1233,15,1.8,1.7,1826,0.1027343744,0.7841043891
1233,18,3.0,1.3,605,-0.00495605182,0.906097561
1233,19,4.3,4.5,570,-0.329931647,0.9034157833
1233,23,1.8,4.2,234,-0.1385498063,0.8783694938
1233,25,1.3,3.0,1367,0.1005371126,0.9080932785
1233,27,4.7,3.0,1477,0.04003906815,0.9071618037
1233,29,3.0,2.6,1194,-0.00981444977,0.9027595269
1233,32,4.2,1.8,893,0.04355468933,0.9294781382
1233,34,3.0,1.5,1397,0.123803718,0.9786921381
1233,37,3.0,3.5,305,-0.05578613723,0.9054916986
1233,41,1.7,4.1,777,-0.0062255855,0.8652073733
1233,46,2.1,3.8,304,0.00700683361,0.9209039548
1233,47,1.7,1.8,277,-0.03708495727,0.9156479218
1233,51,1.2,3.3,3280,0.00146484137,0.9484777518
1233,55,1.8,4.3,3141,0.0812255784,0.9722222222
1233,56,1.7,4.3,323,-0.08046875202,0.8288834951
1233,57,2.1,3.4,1051,0.06796875276,0.8854166667
1233,58,2.2,2.6,2550,0.2095703125,0.8748451053
1233,59,4.4,3.5,643,0.06357421814,0.8448660714
1400,25,1.0,3.0,1035,0.9447509782,0.9001490313
1400,26,1.0,3.0,791,-0.1448730512,0.8159021407
1400,27,1.0,3.0,346,-0.08918457474,0.919056724
1400,28,1.0,5.0,867,-0.02790527257,0.8960176991
1400,31,1.0,5.0,1077,0.1972412084,0.8419721871
1400,34,3.8,3.5,1315,-0.2010009805,0.8785046729
1400,36,1.0,3.8,798,-0.04377441319,0.937829294
1400,37,1.0,3.0,2605,2.358813475,0.9176610979
1400,38,3.0,5.0,417,-0.381860348,0.9477351916
1400,40,1.0,3.8,891,0.04594726906,0.8757687577
1400,43,1.0,5.0,2399,1.018286135,0.946918853
1400,45,2.3,2.4,603,-0.4300537057,0.8128140704
1400,46,2.6,3.2,870,0.4606689469,0.7768860353
1400,47,3.0,3.0,584,-0.4772216772,0.9213917526
1400,48,3.0,3.0,709,-0.9067626921,0.9273356401
1400,49,2.4,3.5,210,-0.5766113331,0.9034482759
1400,50,3.0,3.9,1060,0.4456298874,0.8947976879
1400,51,2.4,3.2,507,-0.1236572302,0.920754717
1400,52,2.4,3.2,686,-0.230688477,0.914187643
1400,53,2.3,3.3,3373,5.108715826,0.8935860058
1400,54,4.1,4.2,994,0.01560058317,0.9138686131
1400,55,1.0,3.8,570,-0.09265136906,0.7824126268
1400,56,1.8,3.0,412,-0.2544433575,0.9075730471
1400,57,2.4,3.4,549,0.7003662131,0.8435294118
1400,59,3.6,3.0,3013,3.177001954,0.9229765013
1400,60,2.4,3.4,1737,-0.09838866967,0.8684210526
1400,63,1.0,5.0,462,-0.8125244152,0.845177665
1400,64,1.8,3.8,718,0.00693359032,0.8690330477
1400,65,4.0,3.8,680,0.6731445329,0.867823765
